رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,الاسم الصحيح الجديد
205,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > كريا,كريا,Crea
206,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > كوانتم أسترا,كوانتم أسترا,Quantum
207,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > كومبانتال,كومبانتال,Compaq
208,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > لينوفو دومينيشن,لينوفو دومينيشن,Lenovo
209,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > مايكروسوفت غيل,مايكروسوفت غيل,Microsoft
210,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > مونستر,مونستر,Monster
211,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > ميتريفو,ميتريفو,Mechrevo
212,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > ميديون علي,ميديون علي,Medion
213,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > نوفاتيك,نوفاتيك,Novatech
214,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > هاير,هاير,Haier
215,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > هواوي,هواوي,Huawei
216,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > هومتك,هومتك,Hometech
217,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > هونر,هونر,Honor
218,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > وون,وون,Woon
219,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > ياسومي,ياسومي,Yasomi
220,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > peugeot > boxer kamyonet,boxer kamyonet,Boxer
221,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > citroen > jumper,jumper,Jumper
222,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > fiat > ducato,ducato,Ducato
223,تعديل الاسم,المركبات > سيارات > أودي > إي-ترون GT > GT RS,GT RS,RS e-tron GT
224,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > isuzu > d- max,d- max,D-Max
225,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > isuzu > npr,npr,NPR
226,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > isuzu > nqr,nqr,NQR
227,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > kia > bongo,bongo,Bongo
228,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > kia > k,k,K Series
229,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h,h,H Series
230,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > الري > محرك ري (بنكار),محرك ري (بنكار),محرك ري بانكار
231,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > اجت,اجت,AGT
232,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > اجروميت,اجروميت,Agromet
233,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > اجريبووير,اجريبووير,Agripower
234,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > اجريفارم,اجريفارم,Agrifarm
235,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ارتراك سوبيرليني,ارتراك سوبيرليني,Artrak Superline
236,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > اسلان,اسلان,Aslan Traktör
237,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > انترناشيونال,انترناشيونال,International
238,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > انتونيو كاررارو,انتونيو كاررارو,Antonio Carraro
239,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > باشاك,باشاك,Başak
240,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > باشكينت,باشكينت,Başkent
241,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > باليتور,باليتور,Balitur
242,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بانكار,بانكار,Pancar
243,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > برانسون,برانسون,Branson
244,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بمك,بمك,BMC
245,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بوروون,بوروون,Borwon
246,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بوزوك,بوزوك,Bozok
247,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بوغاي,بوغاي,Bolgar
248,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بوليندير-مونكتيلل,بوليندير-مونكتيلل,Bolinder-Munktell
249,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > بيركيس,بيركيس,Perkis
250,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > تارال,تارال,Taral
251,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > تافي,تافي,Tafe
252,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > تشيري,تشيري,Chery
253,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > تورك تراكتور,تورك تراكتور,Türk Traktör
254,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > توموسان,توموسان,Tümosan
255,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > تووجو,تووجو,Togo
256,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جراكي,جراكي,Graki
257,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جكب,جكب,JCB
258,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جولدوني,جولدوني,Goldoni
259,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جونين,جونين,Gönen
260,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جوهن دييري,جوهن دييري,John Deere
261,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > جينما,جينما,Jinma
262,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ديكستا,ديكستا,Dexta
263,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ديوتز-فاهر,ديوتز-فاهر,Deutz-Fahr
264,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ريببا,ريببا,Rippa
265,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ريناولت,ريناولت,Renault
266,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > زيتور,زيتور,Zetor
267,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > سامي,سامي,Same
268,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ستيير,ستيير,Steyr
269,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > سوبير ستار,سوبير ستار,Super Star
270,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > سوبير ماجور,سوبير ماجور,Super Major
271,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > سوليس,سوليس,Solis
272,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > سونواي,سونواي,Sunway
273,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فاتيه,فاتيه,Fatih
274,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فارمتراك,فارمتراك,Farmtrac
275,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فالترا,فالترا,Valtra
276,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فوتون,فوتون,Foton
277,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فورد,فورد,Ford
278,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فولفو,فولفو,Volvo
279,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فيات,فيات,Fiat
280,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فيرراري,فيرراري,Ferrari
281,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > فيندت,فيندت,Fendt
282,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كاان,كاان,Kaan
283,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كابتاين,كابتاين,Captain
284,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كاتسو,كاتسو,Katsu
285,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كاراتاش,كاراتاش,Karataş
286,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كاررارو,كاررارو,Carraro
287,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كاسي يه,كاسي يه,Case IH
288,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كلااس,كلااس,Claas
289,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كوبوتا,كوبوتا,Kubota
290,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > كيوتي,كيوتي,Kioti
291,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لامبورغيني,لامبورغيني,Lamborghini
292,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لانديني,لانديني,Landini
293,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لج,لج,LG
294,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لس تراكتور,لس تراكتور,LS Tractor
295,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لومباردين,لومباردين,Lombardini
296,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > لييلاند,لييلاند,Leyland
297,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ماسسيي فيرجوسون,ماسسيي فيرجوسون,Massey Ferguson
298,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ماسسيي هارريس,ماسسيي هارريس,Massey Harris
299,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ماهيندرا,ماهيندرا,Mahindra
300,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > مككورميك,مككورميك,McCormick
301,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > موشوروغلو,موشوروغلو,Muşuroğlu
302,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > مي,مي,Mİ
303,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ميركيديس-بينز,ميركيديس-بينز,Mercedes-Benz
304,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > نوومان,نوومان,Numan
305,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > نيببي,نيببي,Nibbi
306,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > نيو هوللاند,نيو هوللاند,New Holland
307,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > هاتتات,هاتتات,Hattat
308,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > هارس,هارس,Hars
309,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > هارمان,هارمان,Harman
310,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > هولدير,هولدير,Holder
311,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > هيما,هيما,Hema
312,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ورسوس,ورسوس,Ursus
313,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > وزيل,وزيل,Uzel Traktör
314,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ونيفرسال,ونيفرسال,Universal
315,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ياغمور,ياغمور,Yağmur
316,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يانمار,يانمار,Yanmar
317,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يبرو,يبرو,Ebro
318,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يركونت,يركونت,Erkunt
319,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يشبورا,يشبورا,Isbora
320,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يلتار,يلتار,YılTar
321,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > يمت,يمت,IMT
322,تعديل الاسم,الآلات والمعدات > الآلات الزراعية > جرار > ييتشير,ييتشير,Eicher
323,تعديل الاسم,العقارات > سكن > للإيجار > ريزيدنس,ريزيدنس,شقة ضمن مجمع سكني
324,تعديل الاسم,العقارات > سكن > للإيجار > شقة يالي على الواجهة البحرية,شقة يالي على الواجهة البحرية,شقة مصيفية على البحر
325,تعديل الاسم,العقارات > سكن > للإيجار > قصر أو منزل تراثي,قصر أو منزل تراثي,بيت عربي تراثي
326,تعديل الاسم,العقارات > سكن > للإيجار > منزل مزرعة,منزل مزرعة,مزرعة
327,تعديل الاسم,العقارات > سكن > للإيجار > يالٍ على الواجهة البحرية,يالٍ على الواجهة البحرية,شاليه على البحر
328,تعديل الاسم,العقارات > سكن > للبيع > ريزيدنس,ريزيدنس,شقة ضمن مجمع سكني
329,تعديل الاسم,العقارات > سكن > للبيع > شقة يالي على الواجهة البحرية,شقة يالي على الواجهة البحرية,شقة مصيفية على البحر
330,تعديل الاسم,العقارات > سكن > للبيع > قصر أو منزل تراثي,قصر أو منزل تراثي,بيت عربي تراثي
331,تعديل الاسم,العقارات > سكن > للبيع > منزل مزرعة,منزل مزرعة,مزرعة
332,تعديل الاسم,العقارات > سكن > للبيع > يالٍ على الواجهة البحرية,يالٍ على الواجهة البحرية,شاليه على البحر
333,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > بوفيه شاي,بوفيه شاي,بوفيه أو كافتيريا صغيرة
334,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > خدمة فنية,خدمة فنية,خدمات فنية
335,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > دورة مياه,دورة مياه,حمام عمومي
336,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > سبا وحمام تركي وساونا,سبا وحمام تركي وساونا,سبا وساونا
337,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > طابق أو مكتب في ريزيدنس,طابق أو مكتب في ريزيدنس,طابق أو مكتب ضمن مجمع سكني
338,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > كشك داخل مركز تسوق,كشك داخل مركز تسوق,كشك داخل مول
339,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > متجر شَركوتري,متجر شَركوتري,ملحمة أو قصاب
340,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > متجر مشروبات وتبغ مرخص,متجر مشروبات وتبغ مرخص,محل مشروبات وتبغ مرخص
341,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > محل بورك,محل بورك,محل معجنات
342,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > محل خردوات وخياطة,محل خردوات وخياطة,خردوات ولوازم خياطة
343,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > مركز سداد فواتير,مركز سداد فواتير,مركز دفع فواتير
344,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > مستودع ومخزن,مستودع ومخزن,مستودع أو مخزن
345,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > مكان ريفي وحديقة إفطار,مكان ريفي وحديقة إفطار,استراحة أو مطعم
346,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > منشأة رياضية,منشأة رياضية,مركز رياضي
347,تعديل الاسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > وكيل مياه وأنابيب غاز,وكيل مياه وأنابيب غاز,موزع مياه وغاز
348,تعديل الاسم,العقارات > عقار تجاري > للإيجار > سبا وحمام تركي وساونا,سبا وحمام تركي وساونا,سبا وساونا
349,تعديل الاسم,العقارات > عقار تجاري > للإيجار > طابق أو مكتب في ريزيدنس,طابق أو مكتب في ريزيدنس,طابق أو مكتب ضمن مجمع سكني
350,تعديل الاسم,العقارات > عقار تجاري > للإيجار > مرآب وموقف,مرآب وموقف,كراج أو موقف سيارات
351,تعديل الاسم,العقارات > عقار تجاري > للإيجار > مستودع ومخزن,مستودع ومخزن,مستودع أو مخزن
352,تعديل الاسم,العقارات > عقار تجاري > للإيجار > مكان ريفي وحديقة إفطار,مكان ريفي وحديقة إفطار,استراحة أو مطعم
353,تعديل الاسم,العقارات > عقار تجاري > للإيجار > مكتب جاهز أو افتراضي,مكتب جاهز أو افتراضي,مكتب مجهز
354,تعديل الاسم,العقارات > عقار تجاري > للإيجار > منشأة رياضية,منشأة رياضية,مركز رياضي
355,تعديل الاسم,العقارات > عقار تجاري > للبيع > سبا وحمام تركي وساونا,سبا وحمام تركي وساونا,سبا وساونا
356,تعديل الاسم,العقارات > عقار تجاري > للبيع > طابق أو مكتب في ريزيدنس,طابق أو مكتب في ريزيدنس,طابق أو مكتب ضمن مجمع سكني
357,تعديل الاسم,العقارات > عقار تجاري > للبيع > مرآب وموقف,مرآب وموقف,كراج أو موقف سيارات
358,تعديل الاسم,العقارات > عقار تجاري > للبيع > مستودع ومخزن,مستودع ومخزن,مستودع أو مخزن
359,تعديل الاسم,العقارات > عقار تجاري > للبيع > مكان ريفي وحديقة إفطار,مكان ريفي وحديقة إفطار,استراحة أو مطعم
360,تعديل الاسم,العقارات > عقار تجاري > للبيع > منشأة رياضية,منشأة رياضية,مركز رياضي
361,تعديل الاسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > خدمة فنية,خدمة فنية,خدمات فنية
362,تعديل الاسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > دورة مياه,دورة مياه,حمام عمومي
363,تعديل الاسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > سبا وحمام تركي وساونا,سبا وحمام تركي وساونا,سبا وساونا
364,تعديل الاسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > مكان ريفي وحديقة إفطار,مكان ريفي وحديقة إفطار,استراحة أو مطعم
365,تعديل الاسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > وكيل مياه وأنابيب غاز,وكيل مياه وأنابيب غاز,موزع مياه وغاز
366,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > akia,akia,AKIA
367,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > bmc,bmc,BMC
368,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > gu leryu z,gu leryu z,Güleryüz
369,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > hyundai,hyundai,Hyundai
370,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > irizar,irizar,Irizar
371,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > isuzu,isuzu,Isuzu
372,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > iveco,iveco,Iveco
373,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > karsan,karsan,Karsan
374,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > man,man,MAN
375,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > mercedes- benz,mercedes- benz,Mercedes-Benz
376,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > mitsubishi,mitsubishi,Mitsubishi
377,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > neoplan,neoplan,Neoplan
378,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > otokar,otokar,Otokar
379,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > scania,scania,Scania
380,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > setra,setra,Setra
381,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > tcv,tcv,TCV
382,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > temsa,temsa,Temsa
383,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > tezeller,tezeller,Tezeller
384,تعديل الاسم,المركبات > المركبات التجارية > الحافلات > tu rkkar,tu rkkar,Türkkar
385,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > askam,askam,Askam
386,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > bmc,bmc,BMC
387,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > gazelle,gazelle,GAZelle
388,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > iveco,iveco,Iveco
389,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > mack,mack,Mack
390,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > man,man,MAN
391,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > maz,maz,MAZ
392,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > mercedes- benz,mercedes- benz,Mercedes-Benz
393,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > scania,scania,Scania
394,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > volvo,volvo,Volvo
395,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > شاحنات رينو,شاحنات رينو,Renault Trucks
396,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات القاطرة > شاحنات فورد,شاحنات فورد,Ford Trucks
397,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > akeso,akeso,Akeso
398,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > alke,alke,Alke
399,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > anadol,anadol,Anadol
400,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > askam,askam,Askam
401,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > astra,astra,Astra
402,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > bedford,bedford,Bedford
403,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > bmc,bmc,BMC
404,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > chrysler,chrysler,Chrysler
405,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > citroen,citroen,Citroën
406,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > dacia,dacia,Dacia
407,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > daewoo,daewoo,Daewoo
408,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > daf,daf,DAF
409,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > daihatsu,daihatsu,Daihatsu
410,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > dfm,dfm,DFM
411,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > dfsk( dfm),dfsk( dfm),DFSK
412,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > dodge,dodge,Dodge
413,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > fiat,fiat,Fiat
414,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > folkvan,folkvan,Folkvan
415,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > gaz,gaz,GAZ
416,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > hfkanuni,hfkanuni,HF Kanuni
417,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > hino,hino,Hino
418,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > hyundai,hyundai,Hyundai
419,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > isuzu,isuzu,Isuzu
420,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > jac,jac,JAC
421,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > kia,kia,Kia
422,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > kuba,kuba,Kuba
423,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > man,man,MAN
424,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > maxus,maxus,Maxus
425,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > mazda,mazda,Mazda
426,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > mercedes- benz,mercedes- benz,Mercedes-Benz
427,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > mitsubishi- temsa,mitsubishi- temsa,Mitsubishi Temsa
428,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > musatti,musatti,Musatti
429,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > nissan,nissan,Nissan
430,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > opel,opel,Opel
431,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > otokar,otokar,Otokar
432,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > peugeot,peugeot,Peugeot
433,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > piaggio,piaggio,Piaggio
434,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > proton,proton,Proton
435,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > rainwoll,rainwoll,Rainwoll
436,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > relive,relive,Relive
437,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > samsung,samsung,Samsung
438,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > sany,sany,Sany
439,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > scania,scania,Scania
440,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > skoda,skoda,Skoda
441,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > skyjet,skyjet,Skyjet
442,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > suzuki,suzuki,Suzuki
443,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > tata,tata,Tata
444,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > tenax,tenax,Tenax
445,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > toyota,toyota,Toyota
